degree, x, y, distance, frame
undef, 514.0, 325.29,2.236, 344
-159.0, 424.5, 290.0,2.0, 345
20.0, 515.0, 324.935,8.426, 346
undef, 515.5, 324.688,11.0, 347
135.0, 514.5, 325.062,2.0, 348
135.0, 513.5, 326.113,2.449, 349
-45.0, 514.5, 325.726,2.449, 350
135.0, 513.5, 326.113,1.414, 351
undef, 513.5, 325.688,2.449, 352
166.0, 509.5, 326.938,1.0, 353
undef, 509.5, 327.661,2.646, 354
45.0, 510.0, 328.2,2.236, 355
-45.0, 511.648, 327.541,2.0, 356
135.0, 510.0, 328.2,1.414, 357
180.0, 507.0, 328.629,2.449, 358
-34.0, 510.184, 326.681,2.646, 359
0.0, 511.807, 326.072,1.732, 360
undef, 511.728, 326.799,2.236, 361
0.0, 513.224, 326.22,2.0, 362
162.0, 510.319, 327.344,2.449, 363
180.0, 507.5, 327.688,2.828, 364
45.0, 508.0, 328.242,2.646, 365
-27.0, 510.319, 327.344,2.0, 366
153.0, 508.0, 328.242,1.732, 367
-27.0, 512.547, 326.482,2.236, 368
153.0, 508.0, 328.242,2.449, 369
-34.0, 511.496, 326.888,1.414, 370
146.0, 508.0, 328.242,1.732, 371
-21.0, 516.0, 325.145,1.0, 372
159.0, 508.5, 328.048,3.0, 373
-34.0, 511.5, 326.887,2.236, 374
135.0, 510.834, 327.145,1.732, 375
undef, 510.5, 328.0,2.449, 376
-34.0, 513.908, 326.637,2.236, 377
undef, 513.908, 326.637,1.732, 378
-45.0, 514.5, 325.113,2.0, 379
-45.0, 515.0, 324.875,1.414, 380
151.0, 506.0, 329.016,1.414, 381
-23.0, 513.5, 326.113,1.414, 382
undef, 513.5, 326.8,2.449, 383
-45.0, 514.5, 325.062,2.0, 384
180.0, 512.5, 325.812,1.414, 385
undef, 512.5, 325.812,2.449, 386
undef, 512.5, 325.812,2.0, 387
-18.0, 515.5, 324.688,2.0, 388
162.0, 509.5, 326.938,2.0, 389
-11.0, 514.5, 325.726,2.828, 390
153.0, 512.384, 326.545,2.449, 391
153.0, 510.834, 327.145,2.236, 392
-27.0, 516.0, 324.5,2.236, 393
153.0, 514.5, 325.062,2.646, 394
-27.0, 516.0, 324.5,2.236, 395
undef, 516.0, 323.0,1.732, 396
undef, 516.0, 324.5,1.0, 397
undef, 516.0, 324.5,2.236, 398
180.0, 515.5, 324.875,2.0, 399
undef, 515.5, 324.875,2.236, 400
undef, 515.5, 324.875,2.0, 401
135.0, 514.5, 325.281,2.0, 402
undef, 514.0, 325.484,2.449, 403
undef, 514.0, 325.015,2.0, 404
0.0, 515.0, 325.078,2.0, 405
180.0, 513.5, 325.688,2.236, 406
-27.0, 515.0, 324.5,2.449, 407
undef, 515.5, 324.875,1.732, 408
